TARGETID,SURVEY
39633148971060205,sv2
39633144600595444,sv2
39633144604787544,sv2
39633144604787714,sv2
39633144600594253,sv2
39633144600594325,sv2
39633144600594919,sv2
39633144604787498,sv2
39633144600595419,sv2
39633144604786984,sv2
39633144600594845,sv2
39633148971057995,sv2
39633140221739045,sv2
39633144604789516,sv2
39633144608981145,sv2
39633144604788305,sv2
39633144608981048,sv2
39633144604789178,sv2
39633140217546272,sv2
39633140217545592,sv2
39633140217544901,sv2
39633144604789643,sv2
39633140217545128,sv2
39633144608981158,sv2
39633144600593279,sv2
39633144600593854,sv2
39633144600592633,sv2
39633144600593198,sv2
39633144600592965,sv2
39633144600594298,sv2
39633140221741551,sv2
39633140225933484,sv2
39633140221741180,sv2
39633140221741623,sv2
39633140221741935,sv2
39633140221739933,sv2
39633140225934207,sv2
39633140221739586,sv2
39633140213352308,sv2
